clean_label,SNOMED_ID,UBERON_ID,FMA_ID,Definition,synonyms,Source,fiber_category,atlas_composite_flag,laterality,Ontology_cross_reference,uberon_synonyms_related,snomed_id_validated
anterior commissure,SNOMED:62872008,UBERON:0000935,fma61961,"Myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrically corresponding parts of the two cerebral hemispheres; connects olfactory bulbs, anterior perforated substance, and temporal lobes across the midline",AC; Anterior commissure; Structure of anterior commissure; anterior cerebral commissure; anterior commissural nucleus; commissura anterior; commissura anterior cerebri; commissura rostral; commissura rostralis; commissure anterior; paleocortical commissure; precommisure; rostral commissure,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT ; TractSeg,commissural,False,midline,BAMS:AC; BAMS:AG; BAMS:Ac; BAMS:ac; BIRNLEX:1557; BM:Tel-AC; BTO:0002169; DHBA:10559; DMBA:17751; EMAPA:19038; FMA:61961; HBA:9221; MA:0002722; NCIT:C32086; NLX:144088; SCTID:279313001; SCTID:369119009; TAO:0001108; UMLS:C0152335; VHOG:0001558; Wikipedia:Anterior_commissure; ZFA:0001108; neuronames:205,AC | anterior commissural nucleus | commissura anterior | commissura rostral | paleocortical commissure | precommisure | rostral commissure,False
corpus callosum,SNOMED:362354006,UBERON:0002336,fma86464,"The largest commissural white matter structure of the brain, connecting homologous and heterologous regions of the left and right cerebral hemispheres via approximately 200-300 million myelinated axons; subdivided from anterior to posterior into the rostrum, genu, body, isthmus, and splenium.",Entire corpus callosum,ICBM-DTI-81 ; Bullock_2022,commissural,False,midline,BAMS:CC; BAMS:cc; BIRNLEX:1087; BM:Tel-CC; BTO:0000615; CALOHA:TS-0180; DHBA:10561; EFO:0001390; EMAPA:35253; EV:0100305; FMA:86464; GAID:683; HBA:9222; MA:0000188; MAT:0000286; MBA:776; MESH:D003337; MIAA:0000286; NCIT:C12446; SCTID:362354006; UMLS:C0010090; VHOG:0001608; Wikipedia:Corpus_callosum; neuronames:191,,True
cingulum,SNOMED:37035000,UBERON:0003961,fma260761,Long C-shaped association bundle running adjacent to the cingulate gyrus; includes dorsal (cingulate) and ventral (hippocampal) components,Cingulate fasciculus; Cingulum; Structure of cerebral cingulum; Structure of cingulum; cingulum; cingulum bundle; cingulum of telencephalon; neuraxis cingulum,TractSeg ; ICBM-DTI-81 ; Bullock_2022,association,False,bilateral,BAMS:cg; DHBA:10572; EMAPA:37828; FMA:260761; FMA:83869; HBA:9240; MBA:940; SCTID:369084007; neuronames:1445,cingulum of telencephalon | neuraxis cingulum,False
external capsule,SNOMED:279300007,UBERON:0004545,fma61959,A sheet of white matter lateral to the putamen and medial to the claustrum; contains cortical association fibers including components of the inferior fronto-occipital fasciculus and uncinate fasciculus passing between frontal and temporal lobes.,External capsule; Structure of external capsule; brain external capsule; capsula externa; corpus callosum external capsule; external capsule,ICBM-DTI-81 ; Bullock_2022,association,False,bilateral,BAMS:EC; BAMS:ec; DHBA:10573; DMBA:17765; EMAPA:35331; FMA:61959; HBA:9243; MA:0002896; MBA:579; NCIT:C32550; NLXANAT:1010013; SCTID:279300007; UMLS:C0152345; Wikipedia:External_capsule; neuronames:253,capsula externa | corpus callosum external capsule,True
extreme capsule,SNOMED:279301006,UBERON:0014528,fma61960,White matter lateral to the claustrum and medial to the insula; contains short and long association fibers connecting frontal and temporal lobes,EmC; band of Baillarger; capsula extrema,TRACULA ; MGH_HCP ; Bullock_2022,association,False,bilateral,BAMS:ex; BAMS:exc; DHBA:10574; FMA:61960; HBA:9246; NLXANAT:1010014; SCTID:279301006; Wikipedia:Extreme_capsule; neuronames:254,band of Baillarger | capsula extrema,True
Internal capsule,SNOMED:730172000,UBERON:0001887,fma61950,"Large paired white matter structure positioned between the caudate nucleus and thalamus medially and the lentiform nucleus laterally; carries all ascending and descending projection fibers between the cerebral cortex and subcortical structures including the thalamus, brainstem and spinal cord. Divided into the anterior limb, genu, and posterior limb, with retrolenticular and sublenticular extensions.",ALIC; IC; PLIC; brain internal capsule; capsula interna; internal capsule; internal capsule radiations,ICBM-DTI-81,projection,False,bilateral,BAMS:ic; BAMS:int; BIRNLEX:1659; BM:IC; DHBA:10581; DMBA:17770; EMAPA:18206; EMAPA:35437; FMA:61950; GAID:685; HBA:9263; MA:0002748; MBA:6; MESH:D020772; NCIT:C13082; PBA:10102; SCTID:85637007; UMLS:C0152341; Wikipedia:Internal_capsule,capsula interna,False
medial longitudinal fasciculus,SNOMED:28390009,UBERON:0002309,fma83846,"Paired longitudinal brainstem tracts running near the midline through all three brainstem segments; composed of ascending and descending fibers coordinating conjugate eye movements via connections between the oculomotor, trochlear, and abducens nuclei. The main intersegmental tract of the brainstem. Lesions produce internuclear ophthalmoplegia, commonly seen in multiple sclerosis.",MLF; fasciculus longitudinalis medialis (pontis); medial longitudinal fasciculus of pons of varolius; medial longitudinal fasciculus of the pons; pons medial longitudinal fasciculus; pons of varolius medial longitudinal fasciculus,ICBM-DTI-81,brainstem_intrinsic,False,bilateral,BAMS:mlfp; BIRNLEX:1708; FMA:72493; UMLS:C0228440; neuronames:600; BAMS:mlf; BTO:0003951; DHBA:12764; FMA:83846; HBA:9351; MBA:62; neuronames:1588; SCTID:362397001; TAO:0000543; Wikipedia:Medial_longitudinal_fasciculus; ZFA:0000543,fasciculus longitudinalis medialis | medial longitudinal fascicle | MLF,False
olfactory tract,SNOMED:362356008,UBERON:0002265,fma77626,"The white matter stalk connecting the olfactory bulb to the olfactory trigone at the base of the frontal lobe; runs in the olfactory sulcus on the orbital surface of the frontal lobe. Carries mitral and tufted cell axons from the olfactory bulb to primary olfactory cortex (piriform cortex), amygdala, entorhinal cortex, and orbitofrontal cortex directly without thalamic relay — the only primary sensory modality to bypass the thalamus. At the olfactory trigone it bifurcates into the medial and lateral olfactory striae.",olfactory peduncle; olfactory stalk; pedunclulus olfactorius; pedunculus olfactorius; tractus olfactorium; tractus olfactorius,,projection,False,bilateral,BAMS:olf; BIRNLEX:1663; BTO:0003647; DHBA:12073; EMAPA:35615; FMA:77626; HBA:9302; MA:0000975; NCIT:C33207; SCTID:362356008; UMLS:C0162435; Wikipedia:Olfactory_tract; neuronames:283,olfactory peduncle | olfactory stalk | pedunclulus olfactorius | tractus olfactorium | tractus olfactorius,True
corticospinal tract,SNOMED:1296739004,UBERON:0002707,fma265580,Projection fibers from layer V pyramidal cells of the motor cortex descending through the internal capsule; decussate at the medullary pyramids to control contralateral voluntary movement,CST; corticospinal fibers; fasciculus cerebro-spinalis; fasciculus pyramidalis; fibrae corticospinales; pyramid (Willis); pyramidal tract; tractus cortico-spinalis; tractus corticospinalis; tractus pyramidalis,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,projection,False,bilateral,BAMS:P; BIRNLEX:1464; BM:CST; BM:Me-PyT; BTO:0006132; DHBA:12776; DMBA:17756; EMAPA:36600; FMA:72634; GAID:702; HBA:265505574; MBA:190; MBA:784; MESH:D011712; SCTID:362325000; UMLS:C0034229; Wikipedia:Corticospinal_tract; neuronames:1320; neuronames:800,,False
uncinate fasciculus,SNOMED:369083001,UBERON:0003044,fma77636,Hook-shaped association bundle connecting the anterior temporal lobe and amygdala with the orbitofrontal cortex via the limen insulae,UF; UNC; cerebellospinal tract; cerebral uncinate fasciculus; fasciculus fastigio-vestibularis; fastigiobulbar tract; hook bundle of Russell; russell's fasciculus; tractus cerebello-bulbaris; tractus uncinatus; tractus uncinatus (Lewandowsky); uncinate bundle of Russell; uncinate fascicle (Russell); uncinate fasciculus of Russell; uncinate fasciculus of cerebellum; uncinate fasciculus of pons; uncinate fasciculus of the pons; uncinate fasciculus-2,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,association,False,bilateral,BAMS:unc; BIRNLEX:983; DHBA:10594; FMA:77636; MESH:D000083382; SCTID:369083001; UMLS:C0228271; Wikipedia:Uncinate_fasciculus; neuronames:597,cerebellospinal tract | fasciculus fastigio-vestibularis | fastigiobulbar tract | hook bundle of Russell | russell's fasciculus | tractus cerebello-bulbaris | tractus uncinatus | tractus uncinatus (Lewandowsky) | uncinate bundle of Russell | uncinate fascicle (Russell) | uncinate fasciculus of cerebellum | uncinate fasciculus of pons | uncinate fasciculus of Russell | uncinate fasciculus of the pons | uncinate fasciculus-2,True
ventral amygdalofugal pathway,,UBERON:0002745,fma61977,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",projectiones ventrales amygdalae; ventral amygdalofugal projection; ventral amygdalofugal pathway,Bullock_2022,limbic_subcortical,False,bilateral,BAMS:vaf; BIRNLEX:1563; FMA:61977; UMLS:C0175242; neuronames:287,tractus amygdalofugalis ventralis,no_id_supplied
inferior longitudinal fasciculus,SNOMED:369085008,UBERON:0034743,fma77632,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,ILF; external sagittal stratum; fasciculus fronto-occipitalis inferior; fasciculus longitudinalis inferior; ilf,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,association,False,bilateral,DHBA:10580; FMA:77632; HBA:9260; NeuroNamesCNID:538; SCTID:369085008; Wikipedia:Inferior_longitudinal_fasciculus; neuronames:1443,external sagittal stratum | fasciculus fronto-occipitalis inferior | fasciculus longitudinalis inferior | ilf,True
